Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
02:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.752997E+03,8.124719E+03
03:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.727353E+03,8.098269E+03
03:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.701709E+03,8.071818E+03
03:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.676065E+03,8.045367E+03
03:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.650421E+03,8.018912E+03
04:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.624778E+03,7.992461E+03
04:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.607682E+03,7.974828E+03
04:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.590586E+03,7.957195E+03
04:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.573490E+03,7.939556E+03
05:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.556394E+03,7.921922E+03
05:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.573490E+03,7.939556E+03
05:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.590586E+03,7.957195E+03
05:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.607682E+03,7.974828E+03
06:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.624778E+03,7.992461E+03
